42,지삼유통,"경상북도 포항시 북구 양덕남로8번길 30, 1층 (장성동)",
43,(주)씨트리,"경상북도 포항시 북구 동빈로 24, 2층 (여천동)",
44,(주)청림,"경상북도 포항시 북구 삼호로 143, 태원빌딩 5층 (항구동)",
45,태산농원,경상북도 포항시 북구 죽장면 기북로 1816-21,
46,농업회사법인(주)독도무역,"경상북도 포항시 북구 흥해읍 칠포로 186, 2층",
47,거여글로벌,"경상북도 포항시 북구 기계면 기남길 320, C동 1층",
48,대한불교조계종무심사 활력옻차,경상북도 포항시 북구 신광면 신흥로 342,
49,유림건강(주),"경상북도 포항시 북구 흥해읍 신덕로 60, 포항대학교 창업보육센터 1-105호",054-292-8419
50,불로매농원,"경상북도 포항시 북구 삼호로 471, A동 1층 107호 (환호동)",
51,농업회사법인(주)포항웰빙푸드,"경상북도 포항시 북구 죽장면 면봉산길 104, 사무동 1층",
52,주)오동통상사,"경상북도 경주시 금성로368번길 54, (성건동)",
53,남양유업주식회사 경주공장,"경상북도 경주시 산업로 4443-7, (용강동)",054-776-0511
54,(주)사계절,경상북도 경주시 건천읍 단석로 1777,054-751-8472
55,알천식품,"경상북도 경주시 북성로130번길 12, (성동동)",
56,청애원,경상북도 경주시 내남면 내외로 1930-14,
57,(주)사옹원,경상북도 경주시 안강읍 안현로 511,
58,(주)옥종합식품,경상북도 경주시 서면 대경로 2929-118,054-771-6698
59,용궁식품,"경상북도 경주시 구매1길 45, (시래동)",
60,계영제과,"경상북도 경주시 원효로45번길 13, (성건동)",054-748-2415
61,(주)더안,"경상북도 경주시 원화로 224, (황오동)",
62,주식회사 라한호텔(경주),"경상북도 경주시 보문로 338, (신평동)",054-748-2233
63,(사)신라문화원,"경상북도 경주시 금성로 242, (노서동)",
64,(주)황산인터내셔날,경상북도 경주시 천북면 오야리 0번지 천북지방산업단지내 3B 5-1L,
65,수아산업,경상북도 경주시 강동면 인좌안길 108-7,
66,"천마경주빵,찰보리빵","경상북도 경주시 포석로1092번길 70, (황남동)",
67,왕산농원,"경상북도 경주시 금성로368번길 59, (성건동)",054-777-0767
68,이드코리아,"경상북도 경주시 원효로 91, 4층 (노동동)",
69,천우농원,"경상북도 경주시 천북면 천북로 230-7, 2층",
70,동원식품,경상북도 경주시 천북면 신당소티고개길 54-13,
71,대금버섯,경상북도 경주시 건천읍 방내리 138번지 1호,
72,주식회사 풍원바이오 경주지점,경상북도 경주시 산내면 문복로 1313-7,
73,금성로242,"경상북도 경주시 금성로 242, (노서동)",
74,한백농원,"경상북도 경주시 금성로 308, 4층 (서부동)",
75,주식회사 가바,경상북도 경주시 외동읍 연안1길 60,
76,(주)선들임,"경상북도 경주시 시래둑길 59, (구정동)",
77,이븐 무역,"경상북도 경주시 초당길 39, 2층 201호 (동천동)",
78,경주청년팜샵,경상북도 경주시 양남면 양남로 330,
79,(주)지앤지,경상북도 경주시 현곡면 지곡길 10-21,
80,홍경농장,경상북도 경주시 내남면 고사리길 175-11,
81,(주)협동식품,"경상북도 경주시 초당길 109, (주)협동식품 (동천동)",054-745-9711
82,(주)케이앤에프시,경상북도 경주시 건천읍 용명공단길 173-84,054-753-3339
83,통일곤충동충하초,경상북도 경주시 성건동 411번지 16호,
84,초목식품,"경상북도 경주시 양북면 감은로 53-30, 양북시장 A동 1호",
85,(주)태흥씨푸드,경상북도 경주시 현곡면 구산서원길 25,054-620-0000
86,이솔푸드,경상북도 경주시 건천읍 작원1길 49,
87,천년우리농산물,"경상북도 경주시 내남면 이조중앙길 38-27, 2층",
88,디왈리주식회사,"경상북도 경주시 백률로 75-7, (동천동)",
89,꽃내 체리 팜,"경상북도 경주시 금성로396번길 7, 북동 자 8호 (성건동, 북부상가아파트)",054-748-4110
90,오케이농원,경상북도 김천시 대항면 황악로 1446,
91,티엔지푸드,"경상북도 김천시 부곡길 78, (부곡동)",
92,(주)신성유통,경상북도 김천시 아포읍 한지3길 69,054-472-1850
93,구성농업협동조합,경상북도 김천시 구성면 하강길 43,054-435-5225
94,김천와송영농조합법인,경상북도 김천시 감문면 감문로 1125-6,
95,산할아버지농장,경상북도 김천시 부항면 해인길 36,054-465-7991
96,농업회사법인 주식회사 우준식품,경상북도 김천시 대항면 덕전길 216,
97,경희네와송,"경상북도 김천시 시청로 95, (신음동)",
98,건강딱농장,경상북도 김천시 대항면 덕전길 216,054-434-3255
99,롯데쇼핑(주)롯데마트김천점,"경상북도 김천시 시청로 80, (신음동)",054-429-0800
100,농업회사법인주식회사건양,"경상북도 김천시 아포대로 29, (덕곡동)",054-439-2233
101,애플팜조인,"경상북도 김천시 시청6길 46, (신음동, 삼보타운 상가1동)",
102,후레쉬팩토리,"경상북도 김천시 시청6길 46, (신음동, 삼보타운 상가1동)",
103,주식회사더순수,경상북도 김천시 어모면 산업단지7로 211,
104,주식회사 올림픽새싹,"경상북도 김천시 남면 영남대로 2905, 2동",
105,두메숲골,경상북도 김천시 구성면 복호2길 144,
106,와송품은,"경상북도 김천시 평화순환길 269, (평화동)",054-911-2610
107,솔내음베리,"경상북도 김천시 모암사랑1길 95, (모암동)",
108,안녕. 나의농부,경상북도 김천시 대항면 황악로 1654-2,
109,(주)한울대광동지점,"경상북도 김천시 대보길 46, (대광동)",054-439-1001
110,비타민할배,"경상북도 김천시 음지마길 32-22, (부곡동)",
111,김천황악산호두영농조합법인,"경상북도 김천시 대항면 주례3길 40, (가동, 나동)",054-430-0723
112,장수약용버섯,경상북도 김천시 봉산면 봉산로 580,054-431-3322
113,백마산아로니아,경상북도 김천시 감문면 금곡2길 67-51,
114,시월넛(우리호두),"경상북도 김천시 김천로 248, 105호 (황금동, 한신아파트)",
115,위즈팜,"경상북도 김천시 농소면 벽봉로 1651, A, D동",054-430-8805
116,(주)웰빙,"경상북도 김천시 대항면 덕전길 176, PTL B동",
117,김천참굼벵이농장,"경상북도 김천시 대항면 황학동길 18, 2층",
118,주경태양광귀뚜라미,"경상북도 김천시 문안정길 117-25, 1층 (양천동)",
119,우리굼뱅이농장유통,"경상북도 김천시 조마면 금감로 879, 1층",
120,태촌굼벵이유통,"경상북도 김천시 아포읍 국사길 107-1, 1층",
121,솔찬히맛난자두,경상북도 김천시 구성면 금평길 184-20,
122,팔성수산,"경상북도 김천시 부곡시장길 28, (부곡동)",
123,북안동농협산약가공공장,경상북도 안동시 북후면 북평로 819,
124,천지영농,경상북도 안동시 길안면 길안청송로 214-53,054-822-0777
125,(주)류충현약용버섯,경상북도 안동시 임하면 충효로 2520,
126,남안동농협가공사업소,경상북도 안동시 일직면 구운산길 2,
127,하회마을상황버섯농장,경상북도 안동시 풍산읍 설못2길 96,
128,나눔공동체,경상북도 안동시 남선면 지골길 18,
129,디지엘(D.G.L)유통,"경상북도 안동시 제비원로 82-28, (옥야동)",054-843-7005
130,주)동해유통,경상북도 안동시 임하면 추목로 208,054-823-6100
131,통일식품,"경상북도 안동시 마지1길 24, (수상동)",054-858-7170
132,예원영농벤처,"경상북도 안동시 일직면 경북대로 7613, (외 1필지)",054-859-1600
133,안동골참마,"경상북도 안동시 전거리5길 83, (용상동)",054-843-2562
134,농업회사법인 안동마공식쇼핑몰 주식회사,"경상북도 안동시 퇴계로 219-6, 1층 (안막동)",
135,안동명가,"경상북도 안동시 제비원로 279, (안기동)",
136,(주)안동간고등어식품가공사업부,경상북도 안동시 일직면 조탑본길 168,054-859-0571
137,농업회사법인(주) 한국라이스텍,경상북도 안동시 남후면 농공길 26,054-842-0400
138,안동종가에프씨(주),경상북도 안동시 남후면 농공길 52-9,
139,안동생명의검정콩농업회사법인(주),"경상북도 안동시 경동로 625, (천리동)",
140,(주)탁촌장,"경상북도 안동시 경동로 671, (남부동)",054-857-4466
141,영농법인안동학가산마깍두기김치,경상북도 안동시 북후면 물한길 3,
142,필창농산,경상북도 안동시 풍산읍 괴정안길 56-3,
143,학가산참조은식품,경상북도 안동시 북후면 물한길 3,
144,농업회사법인(주)안동참마,"경상북도 안동시 풍산읍 산업단지길 88, 202호 (경북바이오벤처프라자)",
145,건강밥상,"경상북도 안동시 경북대로 474, (송현동)",
146,(주)바이온,"경상북도 안동시 경동로 1486-18, (송천동)",
147,안동산머루,경상북도 안동시 풍산읍 유곡길 151,
148,이랑농장,경상북도 안동시 길안면 웃장터길 91-38,
149,영농조합법인대산,"경상북도 안동시 강남13길 19, (정상동)",
150,더끌림,경상북도 안동시 길안면 천지길 63,054-822-4563
151,늘해랑농원,경상북도 안동시 태화동 578번지 1호 A 우성APT상가-205,054-855-6778
152,광진농산,"경상북도 안동시 경동로 862, (용상동,용상시장 39호 40호)",054-821-1588
153,농업회사법인주식회사부용농산,"경상북도 안동시 풍천면 하회서원마을길 45, 1층",054-858-2004
154,게으른농부,경상북도 안동시 길안면 충효로 2237,
155,시골홍사과,경상북도 안동시 풍산읍 풍산단호로 133-10,054-7390-5130
156,백세건강농업법인,"경상북도 안동시 평화8길 3, (평화동)",
157,꿀먹은사과농원,"경상북도 안동시 길안면 천지길 36, 1층",
158,오지산골사과,"경상북도 안동시 길안면 천지길 36, 1층",054-822-8158
159,대성허브,"경상북도 안동시 경동로 346, 1층 (송현동)",
160,왕고집농장,경상북도 안동시 일직면 돌고개길 9,
161,수정푸드,"경상북도 안동시 제비원로 279, (안기동)",
162,(주)농업회사법인 예안촌,경상북도 안동시 풍산읍 산업단지5길 38,054-858-6061
163,영농조합법인나눔과섬김,경상북도 안동시 풍산읍 지풍로 1846-8,054-843-0128
164,참조은식품,경상북도 안동시 길안면 송사시장길 29,
165,해원기획,"경상북도 안동시 경동로 511, (태화동)",
166,혜산농원,경상북도 안동시 서후면 서후중앙길 11,
167,안동뿌리채소,"경상북도 안동시 중앙로 87-1, (동문동)",
168,예안근채영농조합법인,경상북도 안동시 풍천면 섬마을2길 145-3,
169,경옥삼보(주)농업회사법인,"경상북도 안동시 덕고개길 9-28, (이천동)",054-856-2350
170,농업회사법인 수주촌(주),"경상북도 안동시 경동로 1486-18, (송천동)",853-9997
171,동안동농협농산물산지유통센터,경상북도 안동시 길안면 웃장터길 15-8,054-822-5501
172,득화농산,"경상북도 안동시 제비원로 82-18, (옥야동)",054-853-7799
173,안동참마국수협동조합,"경상북도 안동시 경동로 1486-18, 301호 (송천동)",
174,안동아로니아사랑,"경상북도 안동시 풍천면 지풍로 1568, 1층",
175,용서리,경상북도 안동시 풍산읍 유통단지길 137,
176,농업회사법인(주)농어촌,"경상북도 안동시 태화2길 14, 1층 (태화동)",054-821-3939
177,시남농원,"경상북도 안동시 길안면 충효로 2288-3, 1층",
178,호야네애플파파농장,"경상북도 안동시 임하면 충효로 3353, 1층",
179,안동여성영농조합법인,"경상북도 안동시 경동로 516, (태화동)",054-858-7457
180,주식회사 연미당,"경상북도 안동시 평화7길 2, 1층 (평화동)",
181,한리무역,"경상북도 안동시 풍산읍 본마을길 36-38, 1층",
182,도움소,"경상북도 안동시 단원로 89, 5층 (운안동)",054-858-4458
183,단비농원,경상북도 안동시 일직면 안평일직길 433-60,
184,신재숙식초마당,"경상북도 안동시 서후면 금계2길 65-29, 1층",
185,애플구루 Apple Guru,경상북도 안동시 임동면 가느래이설길 82-74,
186,학가산 강남농원,"경상북도 안동시 목성교길 24-3, 1층 (목성동)",
187,안동농협 농산물유통센터,"경상북도 안동시 남선면 놉실로 59, 1,3동",054-8597-2469
188,(재)한국천연색소산업화센터,"경상북도 안동시 풍산읍 산업단지2길 31, 주2동 1층",054-850-0100
189,인계복지영농조합법인,"경상북도 안동시 예안면 솔골길 129, 1층",
190,정진농업회사법인주식회사,"경상북도 안동시 앙실3길 64, C,D동 (수하동)",
191,애플마루,"경상북도 안동시 서후면 귀여리길 40, 203동 B103호",054-823-3450
192,(주)웰츄럴바이오,경상북도 안동시 풍산읍 산업단지3길 17,054-975-0064
193,농업회사법인 온샘 주식회사,경상북도 안동시 풍산읍 산업단지2길 15,
194,농업회사법인 안동건씨네주식회사,"경상북도 안동시 영가로 26, A,B동 1층 6호 (동부동)",
195,어리버리농원,경상북도 안동시 일직면 경북대로 7603,
196,대산F&B,"경상북도 안동시 길안면 대사로 914-33, 2층",
197,북후산약마영농조합법인,경상북도 안동시 북후면 잣밭길 39-20,054-841-6663
198,안동곤충마을,"경상북도 안동시 와룡면 모산골길 265-18, 1동",
199,아이엠파머,"경상북도 안동시 양의골길 157-2, 1층 (이천동)",
200,농업회사법인산마을주식회사,경상북도 안동시 남후면 농공길 52-11,054-859-3963
201,안동농부이야기,경상북도 안동시 일직면 안망실길 26-2,
202,(주)후르츠마켓,경상북도 안동시 풍산읍 유통단지길 137,
203,안동종가문화원(주),"경상북도 안동시 옹정골길 119, (정상동)",
204,안동종가음식체험연구원,"경상북도 안동시 옹정골길 119, 2층 (정상동)",
205,농업회사법인블루팜(주),"경상북도 안동시 태사길 6, 1층 (삼산동)",
206,얼리그린,"경상북도 안동시 경동로 1375, 안동대학교 지역산학협력관 4층 410호 (송천동)",
207,유한책임회사 오렌지나무,"경상북도 안동시 남선면 검정길 30, 1층",
208,농업회사법인(주) 마다솜,"경상북도 안동시 남후면 남일로 1338, 1층",
209,오케이푸드,"경상북도 안동시 길주길 196, 1층 (용상동)",
210,베리앤애플팜,"경상북도 안동시 일직면 경북대로 7350, 1층",070-7781-4576
211,농업회사법인 주식회사 태율,"경상북도 안동시 북후면 산북로 878, 주건축물제1동 1층",
212,(주)제이오푸드,경상북도 안동시 일직면 풍일로 2340,
213,안동아로니아농원,"경상북도 안동시 북순환로 240, 1층 (안막동)",
214,안동생명의콩전통식품(주),"경상북도 안동시 서후면 북평로 116-16, 가동 1층",
215,일월푸디스,"경상북도 안동시 송천길 25, 1층 (송천동)",
216,안동농협더햇식품사업소,"경상북도 안동시 송천길 5, 1층 (송천동)",054-823-2008
217,아름드리농업회사,"경상북도 안동시 길안면 웃장터길 91-38, 1층",
218,다팜,"경상북도 안동시 풍산읍 상리길 125-1, 1층",
219,로즈애플 본사,"경상북도 안동시 경동로 495, 1층 (태화동)",
220,자임당,"경상북도 안동시 태화중앙로 64-1, 3층 (태화동)",
221,블루토버,"경상북도 안동시 영가로 16, 경북문화콘텐츠진흥원 5층 11호 (동부동)",
222,봉화에서온편지,"경상북도 안동시 합전길 39, 부성종합상가 가동 1층 105호 (송현동)",
223,주식회사니껴바이오농업회사법인,"경상북도 안동시 남선면 검정길 27, 다동 1층",054-859-2224
224,주식회사 핸드앤핸드,"경상북도 안동시 서후면 서선길 189, 안동과학대학교 C동 4층 보건관 창업보육센터 1408호",
225,주식회사세렌디팜,"경상북도 안동시 풍천면 천년숲서로 7-19, 609,610호",
226,바로,"경상북도 안동시 풍산읍 금당길 152-19, 주건축물제2동 1층",
227,안동종가음식유통센터,"경상북도 안동시 옹정골길 119, (정상동)",
228,구구식품,"경상북도 안동시 덕고개길 9-28, 2층 (이천동)",
229,올바른주식회사농업회사법인,"경상북도 안동시 풍산읍 죽전길 24-13, 2층",054-858-1298
230,우리누리영농조합법인,"경상북도 안동시 영가로 16, 경북문화콘텐츠진흥원 콘텐츠개발지원실 5층 (동부동)",
231,마카다프룻 농업회사법인(주),"경상북도 안동시 풍산읍 절뒤길 49, 1층",
232,대웅팜,"경상북도 안동시 임하면 충효로 3262, 1층",
233,농업회사법인주식회사 산들정,"경상북도 안동시 임하면 충효로 3353, 주1동",
234,안동김서방네,"경상북도 안동시 영남길 18, 안기우성아파트 1층 101호 (안기동)",
235,주식회사 미아팜 농업회사법인,경상북도 안동시 풍산읍 번곡길 5-3,054-821-1007
236,고담촌,"경상북도 안동시 퇴계로 219, 2층 (안막동)",
237,보눔(BONUM),"경상북도 안동시 북후면 옹천밤실길 121-12, 주2동 2층",
238,농업회사법인 굿데이 주식회사,"경상북도 안동시 풍산읍 권산정길 6-2, 2층",
239,대한자연의학연구소 농업회사법인 주식회사,"경상북도 안동시 한화3길 5, 세영종합상가 다동 1층 103호 (안기동)",
240,안동마뜰농장,"경상북도 안동시 서후면 명리옹기마길 7, 제2동",
241,주스판다,경상북도 안동시 북후면 토골길 81-5,
242,농업회사법인 안동제비원전통식품(주),경상북도 안동시 서후면 북평로 116-15,054-841-2778
243,안동물산,"경상북도 안동시 영남길 18, 안기우성아파트 102호 (안기동)",
244,첩첩산골,"경상북도 안동시 예안면 정산2길 3, 2층",
245,김성구의성마늘치킨,"경상북도 안동시 경동로 1339, (송천동)",
246,농업회사법인 안동반가 주식회사,"경상북도 안동시 북후면 옹천밤실길 121-12, 주1동",
247,미친사람들,"경상북도 안동시 마들6길 3, 지하1층 (용상동)",
248,농업회사법인 주식회사 깃들,"경상북도 안동시 영가로 6-1, 2층 (운흥동)",
249,(주)더불어사는마을,경상북도 구미시 선산읍 선상서로 264-22,
250,푸른들,"경상북도 구미시 송원서로 90, (원평동, 1층)",054-454-3033
251,(주)황토마루,"경상북도 구미시 선산읍 선상서로 264-22, (외 1필지)",054-481-4255
252,가야식품,"경상북도 구미시 인동가산로 446-17, (신동)",054-471-5601
253,(주)에스제이코레,"경상북도 구미시 고아읍 대평길 196-11, (1층)",070-4652-0320
254,비오유통,"경상북도 구미시 형곡로19길 18-6, 1층 (형곡동)",
255,주식회사바디프라임,"경상북도 구미시 인동중앙로10길 16, 2층 (인의동)",
256,자라곡마을영농조합,"경상북도 구미시 산동면 강동로 1007, 1층",
257,휘트니스트랜드,"경상북도 구미시 인동65길 42-11, 1층 (신동)",
258,구미토실굼벵이,"경상북도 구미시 고아읍 문장로22길 37, 원호한누리타운 상가9동 2층 202호",
259,주식회사청우유통,"경상북도 구미시 고아읍 선산대로 670, 1층",481-8101
260,골든벅스,"경상북도 구미시 비산로5안길 5-68, 2층 (비산동)",054-461-1565
261,주식회사진영에프엔에스,"경상북도 구미시 화신로4길 15, 1동 1층 (광평동)",
262,미다컴퍼니,"경상북도 구미시 산업로2길 44, 1층 (원평동)",
263,에프씨푸드,"경상북도 구미시 송동로 23-9, 1~2층 (도량동)",
264,제이에스푸드,"경상북도 구미시 인동28길 47-9, 2층 (진평동)",
265,여울농장,"경상북도 구미시 신비로4길 20-21, 2층 (신평동)",
266,농업회사법인주식회사다농,"경상북도 구미시 송동로 42-14, 2동 1층 (도량동)",
267,거대유통,"경상북도 구미시 도개면 도안로 115-1, 1층",
268,리빙스타,"경상북도 구미시 신시로10길 120-57, 1층 (송정동)",
269,풍기인삼농협,"경상북도 영주시 풍기읍 금계로 32, (외1필지)",
270,(주)비트로시스,"경상북도 영주시 풍기읍 죽령로1371번길 17, (외1필지 (2층))",
271,(주)소디프비앤에프,"경상북도 영주시 가흥공단로 59-96, A동 (상줄동)",
272,자연자란주식회사,"경상북도 영주시 풍기읍 소백로 2156, 165호",
273,우리동네(주),"경상북도 영주시 가흥로2번길 245, (문정동)",
274,주식회사수정,"경상북도 영주시 영주로72번길 30, (가흥동)",
275,선욱영농조합법인,경상북도 영주시 풍기읍 금계로 67,
276,애플뜰,경상북도 영주시 봉현면 소백로1000번길 2-29,
277,삼영에프앤비영농조합법인,"경상북도 영주시 선비로 135, (휴천동)",
278,풍기인삼농협유통센터,경상북도 영주시 봉현면 소백로 1809,054-636-2715
279,영주농업회사법인주식회사,"경상북도 영주시 창진로 27, (가흥동)",
280,하늘정성,경상북도 영주시 풍기읍 기주로26번길 13-7,
281,채운영농조합법인,경상북도 영주시 이산면 이산로654번길 158,
282,(주)삼농생명공학연구소,경상북도 영주시 풍기읍 소백로 2136,
283,주식회사세렌디팜,"경상북도 영주시 대학로 258-1, 3층 (가흥동)",
284,(주)네이처포스,"경상북도 영주시 신재로12번길 41-2, 2층 (가흥동)",
285,풍기특산물영농조합법인,"경상북도 영주시 풍기읍 인삼로 40, 풍기토종인삼시장 B동 3호",054-636-4114
286,굿피플농업회사법인(주),"경상북도 영주시 봉현면 소백로 1516-9, 2층",
287,영주소백산청결고춧가루,"경상북도 영주시 지천로 137-2, (가흥동)",
288,주식회사인향,"경상북도 영주시 풍기읍 죽령로 1365, 2층 227호",054-637-2777
289,박정금인삼사,"경상북도 영주시 풍기읍 기주로 10, 인삼홍삼센터 113호",
290,이안애꿀,경상북도 영주시 봉현면 신재로842번길 6,
291,(주)멕시카나 영천지점,"경상북도 영천시 금호읍 앵기길 52, (,447)",054-336-9909
292,(주)옴니허브,경상북도 영천시 임고면 운주로 267-4,054-333-1911
293,동우당제약(주)식품사업부,경상북도 영천시 임고면 운주로 267-14,
294,맥섬석 지.엠주식회사,경상북도 영천시 대창면 한제길 44,054-336-5555
295,농업회사법인 동방제유(주),"경상북도 영천시 대전길 98, (대전동)",331-6353
296,(주)청아냉동식품,"경상북도 영천시 도남공단길 94-11, (봉동,600)",054-335-6434
297,보현산청정약초영농조합법인,경상북도 영천시 임고면 맘실길 26,
298,버섯마을,"경상북도 영천시 반월길 30-8, (대전동)",
299,(주)옹가네식품,"경상북도 영천시 채신2공단길 79-29, (채신동)",054-337-9700
300,경북생약농업협동조합,"경상북도 영천시 쇠늘안길 69-13, 부3동 (도동)",054-333-8084
301,(주)진현식품,경상북도 영천시 북안면 못안길 2-54,331-3000
302,누에치는마을 영천양잠녕농조합법인,"경상북도 영천시 천문로 232, (완산동)",
303,경북친환경영농조합법인,"경상북도 영천시 천문로 692-38, (오미동)",
304,별빛농산,"경상북도 영천시 대전강변길 153, (대전동)",
305,대란농산,"경상북도 영천시 동문길 96, (문외동)",
306,(주)프레쉬벨,"경상북도 영천시 완산중앙3길 8, (완산동)",
307,(주)일농,경상북도 영천시 고경면 상계로 194,
308,주식회사골든농업회사법인,경상북도 영천시 북안면 조암길 112-1,054-333-1230
309,주식회사 자두푸드시스템,경상북도 영천시 청통면 계포1길 3-2,719-4540
310,농업회사법인 한조주식회사,"경상북도 영천시 천문로 692-38, (오미동)",054-335-1083
311,(주)퓨어마인트컴퍼니,"경상북도 영천시 안완산길 32, (완산동)",
312,훈팜,"경상북도 영천시 강남길 19, (완산동)",
313,에이데이포미,경상북도 영천시 청통면 청통로 94-12,
314,농업회사법인바다채소(주),경상북도 영천시 북안면 돈암길 237-7,
315,웰빙코리아,"경상북도 영천시 청통면 금송로 1040, B동",
316,대경팜,경상북도 영천시 화남면 신선로 213,
317,비제이푸드,경상북도 영천시 금호읍 금창로 165,
318,광명농산,"경상북도 영천시 서당길 25-75, (도남동)",
319,에스제이아로니아영농조합,경상북도 영천시 고경면 호국로 827,
320,(주)옥천당영천지점,경상북도 영천시 임고면 황강공단길 15,054-337-0788
321,농업회사법인(주)동서건강,"경상북도 영천시 본촌공단1길 1, (본촌동)",
322,주식회사 아이밀,"경상북도 영천시 금호읍 신월숲길 103, 신월새마을금고",
323,보현산제룡이곤충농장,"경상북도 영천시 완산로 16, (완산동)",054-335-1470
324,주식회사악마의레시피,"경상북도 영천시 도동구역길 113, (창고 소재지 : 도동구역길 125-33) 2층 (도동)",
325,농업회사법인(주)별앤별,"경상북도 영천시 천문로 622-13, 영천시농업기술센터 (오미동)",054-331-4402
326,전국 굼벵이 생산자 유통센터,"경상북도 영천시 천문로 324, (창구동)",
327,하명베리농원,"경상북도 영천시 강남길 20, 2층 (완산동)",
328,글리스코 코리아,"경상북도 영천시 숭렬당길 29, (교촌동)",
329,농업창조영농조합,"경상북도 영천시 금호읍 금호로 69, 1층",054-335-2020
330,떡 제이(J),"경상북도 영천시 시청로 7, (문외동)",
331,달향,경상북도 영천시 화북면 오공길 551,
332,자연애푸드,"경상북도 영천시 대전강변길 153, 주2 (대전동)",070-7716-8431
333,(주)원경,"경상북도 영천시 호국로 79, 학원 내부 2층 (야사동)",
334,(주)생초록농원,경상북도 영천시 청통면 사일로 113-31,054-3324-7171
335,조선 1654년 수민방,"경상북도 영천시 백신애길 27, (창구동)",
336,세계로푸드,경상북도 영천시 금호읍 금호제방길 78-12,054-333-7799
337,농업회사법인(주)푸드킹,경상북도 영천시 금호읍 금창로 208-3,054-331-5588
338,웰빙백과,"경상북도 영천시 청통면 금송로 1040, A동",054-338-2344
339,농업회사법인(주)내몸에약초,"경상북도 영천시 한방로 18, 영천약초시장 A동 107,117호 (도동)",054-338-4747
